email,first_name,last_name,cf_id,company_name,description,end_date,left_of_goal
sabbott@live.com,Shelton,Abbott,1911,Willis and Sons,Fundamental incremental database,2021-06-16,72323.00
jabeln@gmail.com,Justin,Abeln,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00
mabeln@live.com,Monika,Abeln,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00
mabeln@yandex.com,Melina,Abeln,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
vabeln@protonmail.com,Val,Abeln,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00
aabraham@outlook.com,Affonso,Abraham,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
aabraham@yandex.com,Alwina,Abraham,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
cabraham@protonmail.com,Crissy,Abraham,238,Parker PLC,Reduced interactive matrix,2021-07-21,41198.00
iabraham@yahoo.com,Ippolito,Abraham,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
kabraham@yandex.com,Kaina,Abraham,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00
